Task,n,p-value,Statistically sig. change between TP
FAB_abstraction,47,0.8510499443144551,No
FAB_flexibility,47,0.0046777349810472576,Yes
FAB_programmation,47,0.013223557158129217,Yes
FAB_sensitivity_to_interference,47,0.004673636218778524,Yes
FAB_inhibitory_control,47,0.0021770729727412404,Yes
FAB_environmental_autonomy,47,0.0832645166635504,No
FAB_TOT,47,5.472044017302019e-05,Yes
Stroop_color_time,47,0.03593276828494201,Yes
Stroop_color_error,47,0.29057754595444907,No
Stroop_words_time,47,0.048875312377258846,Yes
Stroop_words_error,47,0.12064542533634502,No
Stroop_interference_time,47,0.001373933235829484,Yes
Stroop_interference_error,47,0.02128797884969357,Yes
Stroop_index_WC,47,0.2613901881367874,No
Stroop_index_InC,47,0.043922676674869834,Yes
Digit_forward_SPAN,47,0.07091545761513364,No
Digit_forward_TOTAL,47,0.10223573237766104,No
Digit_backward_SPAN,47,0.42161753860879436,No
Digit_backward_TOTAL,47,0.025703445504633878,Yes
Digit_sequencing_SPAN,47,0.03233674304868711,Yes
Digit_sequencing_TOTAL,47,0.005146206591536322,Yes
Digit_TOTAL,47,0.0009548975029988775,Yes
Fugl_Meyer_right_UPPER_EXTREMITY,47,0.02886520730673877,Yes
Fugl_Meyer_right_WRIST,47,0.12665781706240045,No
Fugl_Meyer_right_HAND,47,0.011209733383895203,Yes
Fugl_Meyer_right_COORDINATION_SPEED,47,0.026211583104712517,Yes
Fugl_Meyer_right_TOTAL,47,0.005838782864197115,Yes
Fugl_Meyer_left_UPPER_EXTREMITY,47,0.11447854844503073,No
Fugl_Meyer_left_WRIST,47,0.004481980156450947,Yes
Fugl_Meyer_left_HAND,47,0.002536624652129794,Yes
Fugl_Meyer_left_COORDINATION_SPEED,47,0.006463602645199484,Yes
Fugl_Meyer_left_TOTAL,47,0.0027802351286271864,Yes
B_B_laterality,47,0.31731050786291415,No
B_B_blocks_right_hand,47,4.67216750328344e-05,Yes
B_B_blocks_left_hand,47,0.0003957545692633237,Yes
B_B_blocks_affected_hand,47,3.154962051816152e-05,Yes
B_B_blocks_unaffected_hand,47,0.0009745087223601911,Yes
B_B_blocks_affected,47,3.154962051816152e-05,Yes
B_B_blocks_unaffected,47,0.0009745087223601911,Yes
nmf_executive,47,5.068869768365403e-10,Yes
nmf_motor,47,8.975204675319866e-05,Yes
